proyecto_id,fecha_inicio,pais_id,pais,provincia_id,provincia_de_ejecución,moneda_monto_financiado,monto_financiado,moneda_monto_total,monto_total,region_de_ejecucion,gran_area_conocimiento,tipo_proyecto_cyt,tipo_organizacion_ejec
8206,2008-08-06,ARG,Argentina,06,Buenos Aires,ARS, 365210,ARS, 730500,Pampeana,,Tecnología e Innovación,Empresa
8209,2008-06-21,ARG,Argentina,82,Santa Fe,ARS, 120876,ARS, 300356,Pampeana,,Tecnología e Innovación,Empresa
8210,2008-07-30,ARG,Argentina,82,Santa Fe,ARS, 138945,ARS, 520982,Pampeana,,Tecnología e Innovación,Empresa
8214,2008-04-17,ARG,Argentina,82,Santa Fe,ARS, 112603,ARS, 299260,Pampeana,,Tecnología e Innovación,Empresa
8215,2008-12-10,ARG,Argentina,14,Córdoba,ARS, 139900,ARS, 295440,Pampeana,,Tecnología e Innovación,Persona física
8217,2008-08-11,ARG,Argentina,06,Buenos Aires,ARS, 217940,ARS, 798912,Pampeana,,Tecnología e Innovación,Empresa
8218,2008-08-08,ARG,Argentina,82,Santa Fe,ARS, 106397,ARS, 214125,Pampeana,,Tecnología e Innovación,Empresa
8219,2008-06-27,ARG,Argentina,14,Córdoba,ARS, 52898,ARS, 107638,Pampeana,,Tecnología e Innovación,Persona física
8220,2009-02-19,ARG,Argentina,82,Santa Fe,ARS, 124900,ARS, 320100,Pampeana,,Tecnología e Innovación,Empresa
8227,2008-11-26,ARG,Argentina,06,Buenos Aires,ARS, 282358,ARS, 673510,Pampeana,,Tecnología e Innovación,Empresa
8228,2008-07-04,ARG,Argentina,14,Córdoba,ARS, 359239,ARS, 834486,Pampeana,,Tecnología e Innovación,Empresa
8230,2008-02-05,ARG,Argentina,02,CABA,ARS, 86225,ARS, 195492,Pampeana,,Tecnología e Innovación,Empresa
8231,2008-08-11,ARG,Argentina,02,CABA,ARS, 144500,ARS, 340000,Pampeana,,Tecnología e Innovación,Empresa
8235,2008-08-14,ARG,Argentina,02,CABA,ARS, 74760,ARS, 156680,Pampeana,,Tecnología e Innovación,Empresa
8239,2008-09-22,ARG,Argentina,50,Mendoza,ARS, 211000,ARS, 579892,Cuyo,,Tecnología e Innovación,Empresa
8240,2009-05-05,ARG,Argentina,82,Santa Fe,ARS, 225247,ARS, 621214,Pampeana,,Tecnología e Innovación,Persona física
8241,2008-05-21,ARG,Argentina,82,Santa Fe,ARS, 54750,ARS, 115365,Pampeana,,Tecnología e Innovación,Empresa
8244,2009-01-16,ARG,Argentina,50,Mendoza,ARS, 102515,ARS, 227457,Cuyo,,Tecnología e Innovación,Empresa
8245,2008-08-08,ARG,Argentina,82,Santa Fe,ARS, 53062,ARS, 106391,Pampeana,,Tecnología e Innovación,Empresa
8246,2008-03-26,ARG,Argentina,82,Santa Fe,ARS, 84970,ARS, 173870,Pampeana,,Tecnología e Innovación,Empresa
8249,2009-06-24,ARG,Argentina,06,Buenos Aires,ARS, 296620,ARS, 631249,Pampeana,,Tecnología e Innovación,Empresa
8251,2008-06-26,ARG,Argentina,90,Tucumán,ARS, 319500,ARS, 658900,Noa,,Tecnología e Innovación,Empresa
8259,2008-07-04,ARG,Argentina,02,CABA,ARS, 349267,ARS, 698536,Pampeana,,Tecnología e Innovación,Empresa
8263,2008-05-27,ARG,Argentina,02,CABA,ARS, 96340,ARS, 198387,Pampeana,,Tecnología e Innovación,Empresa
8264,2008-07-01,ARG,Argentina,02,CABA,ARS, 600000,ARS, 1293250,Pampeana,,Tecnología e Innovación,Empresa
8265,2008-09-22,ARG,Argentina,50,Mendoza,ARS, 208600,ARS, 539895,Cuyo,,Tecnología e Innovación,Empresa
8266,2008-11-04,ARG,Argentina,06,Buenos Aires,ARS, 529300,ARS, 1126951,Pampeana,,Tecnología e Innovación,Empresa
8269,2008-08-21,ARG,Argentina,82,Santa Fe,ARS, 253452,ARS, 768906,Pampeana,,Tecnología e Innovación,Empresa
8270,2008-08-08,ARG,Argentina,82,Santa Fe,ARS, 95099,ARS, 192470,Pampeana,,Tecnología e Innovación,Empresa
8274,2008-01-21,ARG,Argentina,82,Santa Fe,ARS, 113253,ARS, 281348,Pampeana,,Tecnología e Innovación,Empresa
8277,2008-06-11,ARG,Argentina,06,Buenos Aires,ARS, 85927,ARS, 268456,Pampeana,,Tecnología e Innovación,Empresa
8279,2008-08-02,ARG,Argentina,02,CABA,ARS, 277200,ARS, 594615,Pampeana,,Tecnología e Innovación,Empresa
8280,2008-07-04,ARG,Argentina,02,CABA,ARS, 122761,ARS, 245523,Pampeana,,Tecnología e Innovación,Empresa
8282,2008-02-05,ARG,Argentina,02,CABA,ARS, 95000,ARS, 190630,Pampeana,,Tecnología e Innovación,Empresa
8284,2008-06-05,ARG,Argentina,02,CABA,ARS, 136250,ARS, 274460,Pampeana,,Tecnología e Innovación,Empresa
8286,2008-10-07,ARG,Argentina,02,CABA,ARS, 209000,ARS, 419200,Pampeana,,Tecnología e Innovación,Empresa
8287,2008-02-05,ARG,Argentina,02,CABA,ARS, 54225,ARS, 124235,Pampeana,,Tecnología e Innovación,Empresa
8288,2008-07-07,ARG,Argentina,02,CABA,ARS, 202441,ARS, 423392,Pampeana,,Tecnología e Innovación,Empresa
8291,2008-06-12,ARG,Argentina,02,CABA,ARS, 468542,ARS, 941578,Pampeana,,Tecnología e Innovación,Empresa
8292,2008-08-11,ARG,Argentina,06,Buenos Aires,ARS, 217063,ARS, 771645,Pampeana,,Tecnología e Innovación,Empresa
8295,2008-05-30,ARG,Argentina,82,Santa Fe,ARS, 219324,ARS, 441000,Pampeana,,Tecnología e Innovación,Empresa
8296,2008-09-03,ARG,Argentina,50,Mendoza,ARS, 42513,ARS, 151136,Cuyo,,Tecnología e Innovación,Empresa
8310,2009-01-15,ARG,Argentina,02,CABA,ARS, 68500,ARS, 137515,Pampeana,,Tecnología e Innovación,Empresa
8312,2008-04-15,ARG,Argentina,02,CABA,ARS, 339200,ARS, 701800,Pampeana,,Tecnología e Innovación,Empresa
8313,2008-04-15,ARG,Argentina,02,CABA,ARS, 226500,ARS, 473471,Pampeana,,Tecnología e Innovación,Empresa
8316,2008-04-16,ARG,Argentina,90,Tucumán,ARS, 336345,ARS, 802547,Noa,,Tecnología e Innovación,Empresa
8317,2008-08-28,ARG,Argentina,82,Santa Fe,ARS, 281120,ARS, 572854,Pampeana,,Tecnología e Innovación,Empresa
8319,2008-09-12,ARG,Argentina,06,Buenos Aires,ARS, 73041,ARS, 147989,Pampeana,,Tecnología e Innovación,Empresa
8320,2008-01-28,ARG,Argentina,82,Santa Fe,ARS, 74270,ARS, 149060,Pampeana,,Tecnología e Innovación,Empresa
8322,2008-06-12,ARG,Argentina,06,Buenos Aires,ARS, 87600,ARS, 231530,Pampeana,,Tecnología e Innovación,Empresa
8324,2008-01-07,ARG,Argentina,82,Santa Fe,ARS, 39020,ARS, 82345,Pampeana,,Tecnología e Innovación,Empresa
8325,2008-06-12,ARG,Argentina,02,CABA,ARS, 431308,ARS, 925168,Pampeana,,Tecnología e Innovación,Empresa
8326,2008-05-23,ARG,Argentina,30,Entre Ríos,ARS, 127750,ARS, 280483,Pampeana,,Tecnología e Innovación,Persona física
8327,2008-02-06,ARG,Argentina,50,Mendoza,ARS, 66250,ARS, 142701,Cuyo,,Tecnología e Innovación,Empresa
8333,2009-10-14,ARG,Argentina,62,Río Negro,ARS, 4887121,ARS, 6179721,Patagónica,,Tecnología e Innovación,Universidad o instituto universitario estatal
8337,2009-01-01,ARG,Argentina,06,Buenos Aires,ARS, 1049650,ARS, 1571827,Pampeana,,Tecnología e Innovación,Entidad administrativa de gobierno
8338,2009-03-30,ARG,Argentina,02,CABA,ARS, 130500,ARS, 221300,Pampeana,,Tecnología e Innovación,Universidad o instituto universitario estatal
8350,2009-03-13,ARG,Argentina,02,CABA,ARS, 1812120,ARS, 3675920,Pampeana,,Tecnología e Innovación,Entidad sin fines de lucro
8353,2009-02-20,ARG,Argentina,58,Neuquén,ARS, 202322,ARS, 270622,Patagónica,,Tecnología e Innovación,Universidad o instituto universitario estatal
8366,2010-10-14,ARG,Argentina,02,CABA,ARS, 5627723,ARS, 7631850,Pampeana,,Tecnología e Innovación,Universidad o instituto universitario estatal
8367,2010-12-20,ARG,Argentina,02,CABA,ARS, 7188750,ARS, 9568300,Pampeana,,Tecnología e Innovación,Entidad sin fines de lucro
8369,2010-01-15,ARG,Argentina,50,Mendoza,ARS, 247000,ARS, 325552,Cuyo,,Tecnología e Innovación,Entidad sin fines de lucro
8370,2011-04-07,ARG,Argentina,70,San Juan,ARS, 1392500,ARS, 1763540,Cuyo,,Tecnología e Innovación,Entidad administrativa de gobierno
8371,2011-04-07,ARG,Argentina,70,San Juan,ARS, 1111085,ARS, 1539292,Cuyo,,Tecnología e Innovación,Entidad administrativa de gobierno
8372,2009-08-03,ARG,Argentina,38,Jujuy,ARS, 1530673,ARS, 2112464,Noa,,Tecnología e Innovación,Universidad o instituto universitario estatal
8373,2011-04-07,ARG,Argentina,02,CABA,ARS, 546100,ARS, 886365,Pampeana,,Tecnología e Innovación,Entidad sin fines de lucro
8375,2009-08-12,ARG,Argentina,50,Mendoza,ARS, 350000,ARS, 490400,Cuyo,,Tecnología e Innovación,Entidad sin fines de lucro
8376,2010-04-22,ARG,Argentina,90,Tucumán,ARS, 381000,ARS, 506057,Noa,,Tecnología e Innovación,Entidad administrativa de gobierno
8377,2009-02-20,ARG,Argentina,06,Buenos Aires,ARS, 1484538,ARS, 1866504,Pampeana,,Tecnología e Innovación,Universidad o instituto universitario estatal
8379,2010-02-22,ARG,Argentina,02,CABA,ARS, 770234,ARS, 1698294,Pampeana,,Tecnología e Innovación,Universidad o instituto universitario privado
8380,2009-09-21,ARG,Argentina,90,Tucumán,ARS, 1266250,ARS, 1976050,Noa,,Tecnología e Innovación,Organismo gubernamental de ciencia y tecnología
8381,2011-04-19,ARG,Argentina,46,La Rioja,ARS, 1142635,ARS, 1564515,Noa,,Tecnología e Innovación,Entidad administrativa de gobierno
8382,2012-06-07,ARG,Argentina,54,Misiones,ARS, 1769080,ARS, 2219533,Nea,,Tecnología e Innovación,Entidad sin fines de lucro
8404,2012-02-06,ARG,Argentina,06,Buenos Aires,ARS, 475304,ARS, 951335,Pampeana,,Tecnología e Innovación,Empresa
8405,2009-11-30,ARG,Argentina,82,Santa Fe,ARS, 184700,ARS, 391550,Pampeana,,Tecnología e Innovación,Empresa
8411,2014-03-06,ARG,Argentina,82,Santa Fe,ARS, 147700,ARS, 313650,Pampeana,,Tecnología e Innovación,Empresa
8418,2013-04-15,ARG,Argentina,02,CABA,ARS, 612500,ARS, 1243849,Pampeana,,Tecnología e Innovación,Empresa
8420,2009-09-02,ARG,Argentina,06,Buenos Aires,ARS, 579799,ARS, 1206067,Pampeana,,Tecnología e Innovación,Empresa
8422,2009-10-26,ARG,Argentina,02,CABA,ARS, 131800,ARS, 271335,Pampeana,,Tecnología e Innovación,Empresa
8423,2013-02-13,ARG,Argentina,06,Buenos Aires,ARS, 730000,ARS, 2174000,Pampeana,,Tecnología e Innovación,Empresa
8432,2012-05-03,ARG,Argentina,02,CABA,ARS, 507198,ARS, 1055318,Pampeana,,Tecnología e Innovación,Empresa
8433,2015-12-28,ARG,Argentina,06,Buenos Aires,ARS, 400000,ARS, 813975,Pampeana,,Tecnología e Innovación,Empresa
8436,2008-11-28,ARG,Argentina,30,Entre Ríos,ARS, 273500,ARS, 981988,Pampeana,,Tecnología e Innovación,Empresa
8438,2013-01-04,ARG,Argentina,06,Buenos Aires,ARS, 793759,ARS, 3069859,Pampeana,,Tecnología e Innovación,Empresa
8440,2012-02-01,ARG,Argentina,02,CABA,ARS, 560000,ARS, 1214634,Pampeana,,Tecnología e Innovación,Empresa
8445,2012-06-18,ARG,Argentina,14,Córdoba,ARS, 497237,ARS, 1145655,Pampeana,,Tecnología e Innovación,Empresa
8452,2010-03-19,ARG,Argentina,02,CABA,ARS, 284313,ARS, 592800,Pampeana,,Tecnología e Innovación,Empresa
8453,2009-05-29,ARG,Argentina,02,CABA,ARS, 526264,ARS, 1151133,Pampeana,,Tecnología e Innovación,Empresa
8455,2008-11-06,ARG,Argentina,82,Santa Fe,ARS, 214100,ARS, 523664,Pampeana,,Tecnología e Innovación,Empresa
8456,2014-02-28,ARG,Argentina,06,Buenos Aires,ARS, 790190,ARS, 1606655,Pampeana,,Tecnología e Innovación,Empresa
8457,2013-04-15,ARG,Argentina,10,Catamarca,ARS, 706927,ARS, 1451851,Noa,,Tecnología e Innovación,Empresa
8466,2009-10-05,ARG,Argentina,14,Córdoba,ARS, 124037,ARS, 252835,Pampeana,,Tecnología e Innovación,Persona física
8467,2011-11-16,ARG,Argentina,82,Santa Fe,ARS, 319800,ARS, 669146,Pampeana,,Tecnología e Innovación,Empresa
8468,2013-03-13,ARG,Argentina,14,Córdoba,ARS, 119000,ARS, 291480,Pampeana,,Tecnología e Innovación,Empresa
8469,2010-02-11,ARG,Argentina,02,CABA,ARS, 189723,ARS, 387555,Pampeana,,Tecnología e Innovación,Empresa
8470,2012-01-23,ARG,Argentina,06,Buenos Aires,ARS, 243300,ARS, 491150,Pampeana,,Tecnología e Innovación,Empresa
8471,2011-12-14,ARG,Argentina,14,Córdoba,ARS, 136000,ARS, 280900,Pampeana,,Tecnología e Innovación,Empresa
8472,2011-08-17,ARG,Argentina,82,Santa Fe,ARS, 558170,ARS, 1116438,Pampeana,,Tecnología e Innovación,Empresa
8474,2011-08-24,ARG,Argentina,82,Santa Fe,ARS, 150000,ARS, 301355,Pampeana,,Tecnología e Innovación,Empresa
8475,2016-03-18,ARG,Argentina,82,Santa Fe,ARS, 510498,ARS, 1023747,Pampeana,,Tecnología e Innovación,Empresa
8476,2012-12-07,ARG,Argentina,14,Córdoba,ARS, 242833,ARS, 737464,Pampeana,,Tecnología e Innovación,Persona física
8477,2012-01-23,ARG,Argentina,14,Córdoba,ARS, 452896,ARS, 927953,Pampeana,,Tecnología e Innovación,Empresa
8478,2010-11-09,ARG,Argentina,82,Santa Fe,ARS, 98600,ARS, 221716,Pampeana,,Tecnología e Innovación,Empresa
8480,2008-12-02,ARG,Argentina,14,Córdoba,ARS, 134000,ARS, 277800,Pampeana,,Tecnología e Innovación,Empresa
8482,2011-05-19,ARG,Argentina,06,Buenos Aires,ARS, 365728,ARS, 731457,Pampeana,,Tecnología e Innovación,Empresa
8484,2011-10-20,ARG,Argentina,14,Córdoba,ARS, 407019,ARS, 814038,Pampeana,,Tecnología e Innovación,Empresa
8487,2011-05-19,ARG,Argentina,06,Buenos Aires,ARS, 302795,ARS, 605591,Pampeana,,Tecnología e Innovación,Empresa
8488,2012-03-08,ARG,Argentina,90,Tucumán,ARS, 300150,ARS, 644800,Noa,,Tecnología e Innovación,Persona física
8489,2009-03-16,ARG,Argentina,82,Santa Fe,ARS, 155650,ARS, 312147,Pampeana,,Tecnología e Innovación,Empresa
8492,2013-08-29,ARG,Argentina,06,Buenos Aires,ARS, 799930,ARS, 1625580,Pampeana,,Tecnología e Innovación,Empresa
