proyecto_id,empresa,pais_id,pais,provincia_id,provincia,tipo_de_proyecto,fecha_inicio
10513,LEXEL SRL,ARG,Argentina,02,CABA,Tecnología e Innovación,2010-07-08
12259,LEYDEN S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-09-08
10419,LEYDEN S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-04-13
13259,LEYDEN S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2012-10-24
10926,LEYDEN S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2015-09-14
13170,LIHUE TUE S. A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2013-05-21
9081,LIJAS ARGENTINAS S.R.L.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2011-10-07
10086,LINAP S.R.L,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2014-11-10
12345,LINE TEC S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2010-05-17
8471,LINE TEC S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2011-12-14
10678,LINE TEC S.A.,ARG,Argentina,14,Córdoba,Tecnología e Innovación,2013-10-15
9093,LINK CHEMICAL S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2009-08-05
6743,LINKSIDE S.A.,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2015-08-05
9213,LIPSIA S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2011-06-21
12375,LITOGRAFIA ANDINA S.A.,ARG,Argentina,50,Mendoza,Tecnología e Innovación,2010-06-08
12288,"LITOGRAFÍA SMOVIR DE SMOVIR LUIS ALBERTO, SMOVIR ERNESTO ANTONIO Y SMOVIR EDUARDO ENRIQUE.",ARG,Argentina,50,Mendoza,Tecnología e Innovación,2009-07-27
100,LITORAL BIOLÓGICOS S.R.L.,ARG,Argentina,22,Chaco,Tecnología e Innovación,2011-06-08
6633,LIVEWARE ISSA,ARG,Argentina,02,CABA,Tecnología e Innovación,2009-01-13
11484,LIVIL SA,ARG,Argentina,30,Entre Ríos,Tecnología e Innovación,2005-10-06
9172,LIXIS SA,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2007-01-15
8157,LIXIS SA,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2007-08-21
10545,LIXIS SA,ARG,Argentina,06,Buenos Aires,Tecnología e Innovación,2010-07-28
10937,LJV S.A.,ARG,Argentina,02,CABA,Tecnología e Innovación,2016-01-21
